"lang" 
{ 
"Language" "English" 
"TF_playerid_healer"			"Healer: "
"TF_playerid_healtarget"		"Healing: "
"TF_playerid_friendlyspy_disguise"	"Disguised as %s1 %s2"
"TF_playerid_mediccharge"		"ÜberCharge: %s1%"
"TF_playerid_mediccharge_wpn"	"ÜberCharge: %s1% (%s2)"
"TF_playerid_teleporter_entrance_nomatch" "No matching teleporter!"
"TF_playerid_noheal"			"Equalizer blocks healing!"

"TF_friendly"				"friendly"
"TF_enemy"				"enemy"

// %s1 is optional difficulty
// %s2 is the name of the bot
"TF_Bot_Title_Enemy"				"Enemy "
"TF_Bot_Title_Friendly"				"Friendly "
"TF_Bot_Generic_ClassName"			"Player"

// Keyboard options
"TF_Title"				"TEAM FORTRESS"
"TF_ClassSpecific_Keys"			"CLASS SPECIFIC SKILL"
"TF_ClassSkill_Medic"			"MEDIC: Deploy ÜberCharge"
"TF_ClassSkill_Heavy"			"HEAVY: Spin Minigun Barrel"
"TF_ClassSkill_Sniper"			"SNIPER: Zoom Sniper Rifle"
"TF_ClassSkill_Spy"				"SPY: Cloak / Uncloak"
"TF_ClassSkill_Spy_LastDisguise"	"SPY: Last Disguise"
"TF_ClassSkill_Spy_DisguiseTeam"	"SPY: Toggle Disguise Team"
"TF_ClassSkill_Demoman"			"DEMOMAN: Detonate Stickybombs"
"TF_Call_For_Medic"			"Call for a Medic"
"TF_DropFlag"				"Drop the briefcase"
"TF_Switch_Classes_Immediately"		"Switch classes immediately"
"TF_Toggle_RoundInfo_Map"		"Toggle Round Info Map"
"TF_MapInfo"		"Show Map Information"
"TF_Inspect"		"Inspect Target"

"TF_voice_menu_A"			"Voice Menu 1"
"TF_voice_menu_B"			"Voice Menu 2"
"TF_voice_menu_C"			"Voice Menu 3"

//Snapshot
"TF_freezecam_snapshot"	"[%s1] Save this moment!"


// Radio and chat strings can have control characters embedded to set colors.  For the control characters to be used, one must be at the start of the string.
// The control characters can be copied and pasted in notepad.
//  = 0x02 (STX) - Use team color up to the end of the player name.  This only works at the start of the string, and precludes using the other control characters.
//  = 0x03 (ETX) - Use team color from this point forward
//  = 0x04 (EOT) - Use location color from this point forward
//  = 0x05 (ENQ) - Use achievement color from this point forward
//  = 0x01 (SOH) - Use normal color from this point forward
"TF_Chat_Team_Loc"		"(TEAM) %s1 @ %s3 :  %s2"
"TF_Chat_Team"			"(TEAM) %s1 :  %s2"
"TF_Chat_Team_Dead"		"*DEAD*(TEAM) %s1 :  %s2"
"TF_Chat_Spec"			"(Spectator) %s1 :  %s2"
"TF_Chat_All"			"%s1 :  %s2"
"TF_Chat_AllDead"		"*DEAD* %s1 :  %s2"
"TF_Chat_AllSpec"		"*SPEC* %s1 :  %s2"
"TF_Name_Change"		"* %s1 changed name to %s2"

"TF_holiday_restriction_halloween"	"Holiday Restriction: Halloween"

// Weapon strings
"TF_Weapon_Bat"			"Bat"
"TF_Weapon_Bottle"		"Bottle"
"TF_Weapon_FireAxe"		"Fire Axe"
"TF_Weapon_Club"		"Kukri"
"TF_Weapon_Crowbar"		"Crowbar"
"TF_Weapon_Bonesaw"		"Bonesaw"
"TF_Weapon_FlameThrower"	"Flame Thrower"
"TF_Weapon_GrenadeLauncher"	"Grenade Launcher"
"TF_Weapon_PipebombLauncher"	"Stickybomb Launcher"
"TF_Weapon_Knife"		"Knife"
"TF_Weapon_Medikit"		"Medikit"
"TF_Weapon_Minigun"		"Minigun"
"TF_Weapon_Pistol"		"Pistol"
"TF_Weapon_Fists"		"Fists"
"TF_Weapon_Revolver"		"Revolver"
"TF_Weapon_RocketLauncher"	"Rocket Launcher"
"TF_Weapon_Shotgun"		"Shotgun"
"TF_Weapon_Shovel"		"Shovel"
"TF_Weapon_SMG"			"SMG"
"TF_Weapon_SniperRifle"		"Sniper Rifle"
"TF_Weapon_SuperSMG"		"Super SMG"
"TF_Weapon_StickybombLauncher"	"Stickybomb Launcher"
"TF_Weapon_Tranq"		"Tranquilizer Gun"
"TF_Weapon_Wrench"		"Wrench"
"TF_Weapon_ObjectSelection"	"Build"
"TF_Weapon_PDA_Engineer"	"PDA"
"TF_Weapon_Flag"		"Flag"
"TF_Weapon_Nailgun"		"Nail Gun"
"TF_Weapon_Medigun"		"Medi Gun"
"TF_Weapon_Scattergun"		"Scattergun"
"TF_Weapon_SyringeGun"		"Syringe Gun"
"TF_Weapon_Watch"		"Invis Watch"
"TF_Weapon_FlareGun"		"Flare Gun"
"TF_Weapon_LunchBox"		"Lunch Box"
"TF_Wearable_Shield"		"Shield"
"TF_Weapon_Jar"			"Jar Based Karate"
"TF_Weapon_Jar_Milk"		"Non-Milk Substance"
"TF_Weapon_CompoundBow"		"Bow"
"TF_Weapon_Battle_Banner"	"Battle Banner"
"TF_Weapon_Sword"		"Sword"
"TF_Weapon_Axe"			"Axe"
"TF_Weapon_Pickaxe"		"Pickaxe"
"TF_Weapon_Laser_Pointer"	"Laser Pointer"
"TF_Weapon_SledgeHammer"	"Sledgehammer"
"TF_Weapon_MakeshiftClub"	"Makeshift Club"
"TF_Weapon_Robot_Arm"		"Robot Arm"
"TF_Weapon_Peppergun"		"Peppergun"
"TF_Weapon_Fish"		"Fish"
"TF_Weapon_FryingPan"		"Frying Pan"
"TF_Weapon_Gloves"		"Boxing Gloves"
"TF_Weapon_Crossbow"		"Crossbow"
"TF_Weapon_StickBomb"		"Stick Bomb"
"TF_Weapon_GardenRake"		"Garden Rake"
"TF_Weapon_RiftFireAxe"		"RIFT Fire Axe"
"TF_Weapon_RiftFireMace"	"RIFT Fire Mace"

"TF_MapToken"			"Map Stamp"

"TF_Wearable_Boots"		"Boots"
"TF_Wearable_Medal"		"Medal"
"TF_Wearable_Badge"		"Badge"
"TF_Wearable_Holiday_Hat"	"Holiday Hat"
"TF_Wearable_HonestyHalo" 	"Aura of Incorruptibility"
"TF_Wearable_Glasses"	"Glasses"
"TF_Wearable_Apparel"	"Apparel"

"Humiliation_Count"		"x%s1"
"Humiliation_Kill"		"FISH KILL!"


"TF_Gift"					"Gift"
"TF_Gift_EntireServer"	   	"Pile o' Gifts"
"TF_Gift_EntireServer_Desc"	"When used, this Action Item gives a random gift\nto up to 23 other people on the server!"
"TF_Gift_RandomPerson"		"Secret Saxton"
"TF_Gift_RandomPerson_Desc"	"When used, this Action Item gives a random gift\nto a random person on the server!"

"TF_NoiseMaker"			"Noise Maker"
"TF_NoiseMaker_CrazyLaugh"	"Noise Maker - Crazy Laugh"
"TF_NoiseMaker_Werewolf"	"Noise Maker - Werewolf"
"TF_NoiseMaker_BlackCat"	"Noise Maker - Black Cat"
"TF_NoiseMaker_Banshee"		"Noise Maker - Banshee"
"TF_NoiseMaker_Witch"		"Noise Maker - Witch"
"TF_NoiseMaker_Gremlin"		"Noise Maker - Gremlin"
"TF_NoiseMaker_Stabby"		"Noise Maker - Stabby"
"TF_NoiseMaker_Exhausted"	"You have used all of your Noise Maker's charges."

"TF_Party_Favor"		"Party Favor"
"TF_Armory_Item_Type_NoiseMaker""Plays a Halloween themed sound when used. Equip this item in your action slot and use it during a game. A charge will be consumed when the item is used."


"TF_DeliverGiftDialog_Title"	"Deliver a Gift"
"TF_DeliverGiftResultDialog_Title" "Gift Delivery"
"TF_DeliverGiftResultDialog_Success"  "The gift has been delivered!"
"TF_DeliverGiftResultDialog_Fail"  "Unable to deliver the gift."
"TF_DeliverGiftResultDialog_VAC"  "The recipient does not have privileges to receive a gift."

"TF_UseFail_NotInGame_Title"	"Join A Game First!"
"TF_UseFail_NotInGame"			"This item can only be used from within a game."
"TF_UseFail_NotOnTeam_Title"	"Join A Team First!"
"TF_UseFail_NotOnTeam"			"This item can only be used after you have joined a team."

"TF_UsableItem"				"Usable Item"

"TF_Usable_Duel"		"Dueling Mini-Game"
"TF_Usable_Duel_Desc"	"Is an enemy player questioning your skills, personal hygiene, and/or ancestry?\nUse these stylish firearms to challenge them to a duel!\nSee the Mann Co. Catalog for full details."
"TF_Duel_Request"			"%initiator% has challenged you to a duel! Will you defend your honor?"
"TF_Duel_Challenge"			"%initiator% has challenged %target% to a duel!"
"TF_Duel_Accept"			"%target% has agreed to duel with %initiator%!"
"TF_Duel_Decline"			"Cowardly %target% has rejected a duel with the Honorable %initiator%!"
"TF_Duel_Decline2"			"%target% is afraid to duel with %initiator% and rejects their challenge!"
"TF_Duel_Decline3"			"%target% is no match for %initiator% and refuses to duel!"
"TF_Duel_Win"				"%winner% defeated %loser% in a duel with a score of %winner_score% to %loser_score%!"
"TF_Duel_Win_SwappedTeams"	"%winner% defeated %loser% in a duel because %loser% changed teams."
"TF_Duel_Win_Disconnect"	"%winner% defeated %loser% in a duel because %loser% left the game."
"TF_Duel_Tie"				"The duel between %initiator% and %target% ended in a draw with %score% points each!"
"TF_Duel_Refund_LevelShutdown"			"The duel between %initiator% and %target% has ended, because the level has changed. A Dueling Mini-Game owned by %initiator% has not been consumed."
"TF_Duel_Refund_ScoreTiedAtZero"		"The duel between %initiator% and %target% has ended, because they tied at 0-0. A Dueling Mini-Game owned by %initiator% has not been consumed."
"TF_Duel_Refund_Kicked"		"The duel between %initiator% and %target% has ended, because a player has been kicked. A Dueling Mini-Game owned by %initiator% has not been consumed."
"TF_Duel_Refund_ForceTeamSwap"		"The duel between %initiator% and %target% has ended, because a player has been switched to another team. A Dueling Mini-Game owned by %initiator% has not been consumed."
"TF_Duel_StatusKill"		"Duel Status:\n%initiator%: %initiator_score%\n%target%: %target_score%"
"TF_Duel_StatusAssist"		"Duel Status:\n%initiator%: %initiator_score%\n%target%: %target_score%"
"TF_Duel_StatusForChat_Kill"	"Duel Status - %initiator%: %initiator_score% - %target%: %target_score%."
"TF_Duel_StatusForChat_Assist"	"Duel Status - %initiator%: %initiator_score% - %target%: %target_score%."
"TF_Duel_Title"				"Duel to the Death!"
"TF_Duel_JoinCancel"		"No Thanks"
"TF_Duel_Cancelled"			"The duel between %initiator% and %target% has been cancelled. A Dueling Mini-Game owned by %initiator% has not been consumed."
"TF_Duel_InADuel_Initiator"	"You have already challenged someone to a duel or are currently in a duel."
"TF_Duel_InADuel_Target"	"%target% is already in a duel."
"TF_Duel_CannotUse"			"Cannot initiate a duel at this time."
"TF_Duel_Medal_Bronze"		"Bronze Dueling Badge"
"TF_Duel_Medal_Silver"		"Silver Dueling Badge"
"TF_Duel_Medal_Gold"		"Gold Dueling Badge"
"TF_Duel_Medal_Plat"		"Platinum Dueling Badge"
"TF_Duel_Medal_Bronze_Desc"	"This badge tracks your duel statistics.\nIncrease its level by winning duels!"
"TF_Duel_Medal_Silver_Desc"	"Earned at level 25.\nThis badge tracks your duel statistics.\nIncrease its level by winning duels!"
"TF_Duel_Medal_Gold_Desc"	"Earned at level 50.\nThis badge tracks your duel statistics.\nIncrease its level by winning duels!"
"TF_Duel_Medal_Plat_Desc"	"Earned at level 75.\nThis badge tracks your duel statistics.\nIncrease its level by winning duels!"
"TF_Duel_Desc_Won"		"Wins: %wins%\nWinning Percentage: %ratio%%%\nLast Duel: You defeated %last_target%\non %last_date%"
"TF_Duel_Desc_Lost"		"Wins: %wins%\nWinning Percentage: %ratio%%%\nLast Duel: You lost to %last_target%\non %last_date%"
"TF_Duel_Desc_Tied"		"Wins: %wins%\nWinning Percentage: %ratio%%%\nLast Duel: You tied with %last_target%\non %last_date%"
"TF_DuelDialog_Title"	"Challenge to a Duel"

"TF_ItemExpiration"		"This item will expire on %s1."

"TF_StoreBundle"		"Item Bundle"

"TF_Bundle_Polycount"				"Polycount Pack"
"TF_Bundle_Polycount_Desc"			"Includes all the Polycount Contest winning entries:"
"TF_Bundle_PolycountPyro"			"The Gas Jockey's Gear"
"TF_Bundle_PolycountPyro_Desc"			"Includes all the Polycount Pyro Items:"
"TF_Bundle_PolycountSpy"			"The Saharan Spy"
"TF_Bundle_PolycountSpy_Desc"			"Includes all the Polycount Spy Items:"
"TF_Bundle_PolycountSoldier"			"The Tank Buster"
"TF_Bundle_PolycountSoldier_Desc"		"Includes all the Polycount Soldier Items:"
"TF_Bundle_PolycountSniper"			"The Croc-o-Style Kit"
"TF_Bundle_PolycountSniper_Desc"		"Includes all the Polycount Sniper Items:"
"TF_Bundle_PolycountScout"			"The Special Delivery"
"TF_Bundle_PolycountScout_Desc"			"Includes all the Polycount Scout Items:"

"TF_Bundle_ExcessiveBundle"			"A Bargaining Manne's Bundle of Bargains"
"TF_Bundle_ExcessiveBundle_Desc"		"Includes all items from the Polycount Pack and the Winter Update Pack:"
"TF_Bundle_WinterUpdate"			"Winter Update Pack"
"TF_Bundle_WinterUpdate_Desc"			"Includes all of the Winter Update class set items:"
"TF_Bundle_MedievalMedic"			"The Medieval Medic"
"TF_Bundle_MedievalMedic_Desc"			"Includes these medieval themed Medic items:"
"TF_Bundle_HibernatingBear"			"The Hibernating Bear"
"TF_Bundle_HibernatingBear_Desc"		"Includes these Heavy items:"
"TF_Bundle_ExpertsOrdnance"			"The Expert's Ordnance"
"TF_Bundle_ExpertsOrdnance_Desc"		"Includes these Demoman items:"
"TF_Bundle_FancyHats"				"Box of Fancy Hats"
"TF_Bundle_FancyHats_Desc"			"Contains a variety of incredibly fancy hats:"
"TF_Bundle_NastyWeapons"			"Pile of Nasty Weapons"
"TF_Bundle_NastyWeapons_Desc"			"An assortment of particularly nasty weapons:"

"TF_Bundle_HalloweenNoiseMaker"			"Noise Maker Bundle"
"TF_Bundle_HalloweenNoiseMaker_Desc"		"Includes one of each Halloween Noise Maker. Each Noise Maker has 25 charges."

"TF_Bundle_MapTokens"			"Map Stamps Collection"
"TF_Bundle_MapTokens_Desc"		"Includes one a stamp for each community made map."

"TF_Scout_Hat_1"		"Batter's Helmet"
"TF_Scout_Hat_1_Desc"		"You'll be batting a thousand (skulls in) when you don this red piece of plastic!"
"TF_Sniper_Hat_1"		"Trophy Belt"
"TF_Sniper_Hat_1_Desc"		"Any old sap can pull teeth from a dead crocodile.\nIt takes a man to pull teeth from a live one."
"TF_Soldier_Hat_1"		"Soldier's Stash"
"TF_Soldier_Hat_1_Desc"		"This hat does not in any way, shape, or form, promote smoking or gambling."
"TF_Demo_Hat_1"			"Demoman's Fro"
//"TF_Demo_Hat_1_Desc"			"Demoman's Fro Description"
"TF_Medic_Hat_1"		"Prussian Pickelhaube"
"TF_Medic_Hat_1_Desc"		"A relic from one war brought into another.\nYour enemy will get the point."
"TF_Pyro_Hat_1"			"Pyro's Beanie"
//"TF_Pyro_Hat_1_Desc"			"Pyro's Beanie Description"
"TF_Heavy_Hat_1"		"Football Helmet"
//"TF_Heavy_Hat_1_Desc"		"Football Helmet Description"
"TF_Engineer_Hat_1"		"Mining Light"
"TF_Engineer_Hat_1_Desc"		"For Engineers with bright ideas."
"TF_Spy_Hat_1"			"Fancy Fedora"
"TF_Spy_Hat_1_Desc"			"This smooth, suave, silk-lined beauty can turn any amateur backstabber into a handsome rogue."
"TF_Engineer_Cowboy_Hat"	"Texas Ten Gallon"
"TF_Engineer_Cowboy_Hat_Desc"	"Though it looks like a simple ten-gallon hat, this modern feat of engineering actually contains more moving parts than a level 2 Sentry Gun."
"TF_Engineer_Train_Hat"		"Engineer's Cap"
//"TF_Engineer_Train_Hat_Desc"		"Engineer's Cap Description"
"TF_Heavy_Ushanka_Hat"		"Officer's Ushanka"
"TF_Heavy_Ushanka_Hat_Desc"		"This hat was made of bear hands.\nThat bear was killed with bare hands."
"TF_Heavy_Stocking_cap"		"Tough Guy's Toque"
"TF_Heavy_Stocking_cap_Desc"		"Because when you're the toughest Mother Hubbard in the fort, nobody's criticizing your fashion sense."
"TF_Soldier_Pot_Hat"		"Stainless Pot"
"TF_Soldier_Pot_Hat_Desc"		"Protects cranium from bullets and shrapnel.\nAlso heats soup."
"TF_Soldier_Viking_Hat"		"Tyrant's Helm"
"TF_Soldier_Viking_Hat_Desc"		"I kicked your ass so hard it went back in time and got me this VIKING HAT."
"TF_Demo_Scott_Hat"		"Glengarry Bonnet"
//"TF_Demo_Scott_Hat_Desc"		"Glengarry Bonnet Description"
"TF_Medic_Tyrolean_Hat"		"Vintage Tyrolean"
//"TF_Medic_Tyrolean_Hat_Desc"		"Vintage Tyrolean Description"
"TF_Pyro_Chicken_Hat"		"Respectless Rubber Glove"
"TF_Pyro_Chicken_Hat_Desc"		"It doesn't matter how much people respect you when they're on fire."
"TF_Spy_Camera_Beard"		"Camera Beard"
"TF_Spy_Camera_Beard_Desc"		"You wouldn't mind if I read this top secret document with my beard, would you?"
"TF_Medic_Mirror_Hat"		"Otolaryngologist's Mirror"
"TF_Medic_Mirror_Hat_Desc"		"We can't pronounce it either."
"TF_Pyro_Fireman_Helmet"	"Brigade Helm"
//"TF_Pyro_Fireman_Helmet_Desc"	"Brigade Helm Description"
"TF_Scout_Bonk_Helmet"		"Bonk Helm"
"TF_Scout_Bonk_Helmet_Desc"		"When drinking one radioactive beverage at a time is not enough."
"TF_Scout_Newsboy_Cap"		"Ye Olde Baker Boy"
"TF_Scout_Newsboy_Cap_Desc"		"Extra! Extra! You're frickin' dead!"
"TF_Spy_Derby_Hat"		"Backbiter's Billycock"
"TF_Spy_Derby_Hat_Desc"		"For when you wish your head was a little taller,\nbut just as round on top."
"TF_Sniper_Straw_Hat"		"Professional's Panama"
"TF_Sniper_Straw_Hat_Desc"		"A polite, efficient hat to wear when killing everyone you meet."
"TF_Sniper_Jarate_Headband"	"Master's Yellow Belt"
"TF_Sniper_Jarate_Headband_Desc"	"Only a master of Jarate earns the right to wear this once-white bandanna, stained yellow from the rigors of a harsh training regimen."
"TF_Hatless_Scout"		"Baseball Bill's Sports Shine"
"TF_Hatless_Scout_Desc"		"Everyone knows that speed is a Scout’s best friend. Why weigh yourself down with bulky hats when you can break the sound barrier without them?"
"TF_Hatless_Sniper"		"Ritzy Rick's Hair Fixative"
"TF_Hatless_Sniper_Desc"		"His bullet was close.\nI lost my hat.\nMy bullet was closer.\nHe lost his head."
"TF_Hatless_Engineer"		"Texas Slim's Dome Shine"
"TF_Hatless_Engineer_Desc"		"Sometimes you just need a little less hat."
"TF_Demo_Top_Hat"		"Scotsman's Stove Pipe"
//"TF_Demo_Top_Hat_Desc"		"Scotsman's Stove Pipe Description"
"TF_HonestyHalo"		"Cheater's Lament"
"TF_HonestyHalo_Desc"		"Though some would stop at nothing to achieve hats, you remained resolute and incorruptible in your quest for head decorations. For that, you have been rewarded."
"TF_Halloween_Hat"		"Mildly Disturbing Halloween Mask"
"TF_Halloween_Hat_Desc"		"Brown paper never looked so mildly disturbing."
"TF_Halloween_Head"		"Horseless Headless Horsemann's Head"
"TF_Halloween_Head_Desc"	"He had one all along..."
"TF_Domination_Hat"		"Ghastlier Gibus"
"TF_Domination_Hat_Desc"	"Even more ghastly."
"TF_Domination_Hat_2010"		"Ghastly Gibus"
"TF_Domination_Hat_2010_Desc"	"Elegant simplicity and old-world charm combined with the heady aromas of mould and grave dust."
"TF_L4DHat"			"Bill's Hat"
"TF_L4DHat_Desc"			"Left 4 You."
"TF_Wearable_L4DHat"		"Veteran's Beret"
